"X"	"Team"	"Game"	"Date"	"Home"	"Opponent"	"WINorLOSS"	"TeamPoints"	"OpponentPoints"	"FieldGoals"	"FieldGoalsAttempted"	"FieldGoals."	"X3PointShots"	"X3PointShotsAttempted"	"X3PointShots."	"FreeThrows"	"FreeThrowsAttempted"	"FreeThrows."	"OffRebounds"	"TotalRebounds"	"Assists"	"Steals"	"Blocks"	"Turnovers"	"TotalFouls"	"Opp.FieldGoals"	"Opp.FieldGoalsAttempted"	"Opp.FieldGoals."	"Opp.3PointShots"	"Opp.3PointShotsAttempted"	"Opp.3PointShots."	"Opp.FreeThrows"	"Opp.FreeThrowsAttempted"	"Opp.FreeThrows."	"Opp.OffRebounds"	"Opp.TotalRebounds"	"Opp.Assists"	"Opp.Steals"	"Opp.Blocks"	"Opp.Turnovers"	"Opp.TotalFouls"	"Season"	"Win"
"5612"	3668	"DET"	36	"2017-01-01"	"Away"	"MIA"	"W"	107	98	42	86	0.488	9	22	0.409	14	22	0.636	10	48	16	7	5	12	18	35	77	0.455	14	26	0.538	14	18	0.778	3	34	25	6	4	10	22	"2017"	1
"5693"	3569	"GSW"	35	"2017-01-02"	"Home"	"DEN"	"W"	127	119	50	95	0.526	11	25	0.44	16	21	0.762	12	43	33	7	2	13	14	48	101	0.475	9	35	0.257	14	18	0.778	16	48	33	10	2	14	21	"2017"	1
"5776"	3670	"HOU"	36	"2017-01-02"	"Home"	"WAS"	"W"	101	91	37	86	0.43	12	39	0.308	15	21	0.714	7	41	25	9	9	13	12	38	87	0.437	6	26	0.231	9	12	0.75	7	45	23	9	2	17	21	"2017"	1
"5857"	3571	"IND"	35	"2017-01-01"	"Home"	"ORL"	"W"	117	104	43	86	0.5	9	22	0.409	22	24	0.917	8	46	28	5	5	11	16	42	97	0.433	10	38	0.263	10	11	0.909	10	42	25	6	7	10	22	"2017"	1
"5941"	3772	"LAC"	37	"2017-01-02"	"Home"	"PHO"	"W"	109	98	37	80	0.463	7	16	0.438	28	38	0.737	12	51	17	1	11	19	21	39	102	0.382	2	15	0.133	18	22	0.818	19	48	22	11	4	12	29	"2017"	1
"6023"	3773	"LAL"	37	"2017-01-01"	"Home"	"TOR"	"L"	114	123	37	92	0.402	15	32	0.469	25	31	0.806	16	43	19	8	3	7	21	42	75	0.56	10	17	0.588	29	32	0.906	5	40	18	5	9	16	25	"2017"	0
"6105"	3774	"MEM"	37	"2017-01-03"	"Away"	"LAL"	"L"	102	116	30	77	0.39	10	31	0.323	32	35	0.914	5	39	18	6	1	10	16	42	82	0.512	17	33	0.515	15	28	0.536	9	43	34	5	2	9	23	"2017"	0
"6185"	3575	"MIA"	35	"2017-01-01"	"Home"	"DET"	"L"	98	107	35	77	0.455	14	26	0.538	14	18	0.778	3	34	25	6	4	10	22	42	86	0.488	9	22	0.409	14	22	0.636	10	48	16	7	5	12	18	"2017"	0
"6265"	3376	"MIL"	33	"2017-01-02"	"Home"	"OKC"	"W"	98	94	38	79	0.481	7	19	0.368	15	24	0.625	7	39	21	4	4	10	17	36	78	0.462	9	27	0.333	13	19	0.684	8	40	20	7	5	10	20	"2017"	1
"6348"	3477	"MIN"	34	"2017-01-01"	"Home"	"POR"	"L"	89	95	35	87	0.402	7	23	0.304	12	18	0.667	13	47	21	11	5	16	25	36	73	0.493	6	22	0.273	17	28	0.607	4	41	13	10	8	14	19	"2017"	0
"6432"	3678	"NOP"	36	"2017-01-02"	"Away"	"CLE"	"L"	82	90	32	88	0.364	11	26	0.423	7	10	0.7	8	45	26	6	6	13	18	34	90	0.378	6	31	0.194	16	22	0.727	11	56	16	9	4	11	13	"2017"	0
"6512"	3479	"NYK"	34	"2017-01-02"	"Home"	"ORL"	"L"	103	115	39	83	0.47	8	21	0.381	17	24	0.708	16	46	18	7	5	18	17	45	91	0.495	15	31	0.484	10	14	0.714	13	39	35	10	4	12	20	"2017"	0
"6595"	3580	"OKC"	35	"2017-01-02"	"Away"	"MIL"	"L"	94	98	36	78	0.462	9	27	0.333	13	19	0.684	8	40	20	7	5	10	20	38	79	0.481	7	19	0.368	15	24	0.625	7	39	21	4	4	10	17	"2017"	0
"6677"	3581	"ORL"	35	"2017-01-01"	"Away"	"IND"	"L"	104	117	42	97	0.433	10	38	0.263	10	11	0.909	10	42	25	6	7	10	22	43	86	0.5	9	22	0.409	22	24	0.917	8	46	28	5	5	11	16	"2017"	0
